DELETED                       DELETED                       DELETED                       DELETED                       
DELETED                       DELETED                       DELETED                       DELETED                       
Rolls Royce                   bcd1323                       Mohamed Hassan Hamed          Mohammed Ahmed Hassan         
Chevorlet Camaro              ABKK865                       Mohameed                      Mohamed Ahmed Abdelhamed      
DELETED                       DELETED                       DELETED                       DELETED                       
Nissan sunny                  ABDEF12                       Abdelrahman                   Abdelrahman Atef Saad         
Nissan GTR                    ABE231                        Abdelrahman                   not rented                    
DELETED                       DELETED                       DELETED                       DELETED                       
Ford                          AFG4522                       Mohammed                      Ahmed Saber                   
Hyundai                       45534                         AHmed                         Abdelrahman Atef Saad         
